"Time","VRM","VYM","VBM"
2023-02-21 14:17:10.080,235,236,235
2023-02-21 14:17:10.120,235,236,235
2023-02-21 14:17:10.160,235,236,235
2023-02-21 14:17:10.200,235,236,235
2023-02-21 14:17:10.240,235,236,235
2023-02-21 14:17:10.280,235,236,235
2023-02-21 14:17:10.320,235,236,235
2023-02-21 14:17:10.360,235,236,235
2023-02-21 14:17:10.400,235,236,235
2023-02-21 14:17:10.440,235,236,235
2023-02-21 14:17:10.480,235,236,235
2023-02-21 14:17:10.520,235,236,235
2023-02-21 14:17:10.560,235,236,235
2023-02-21 14:17:10.600,235,236,235
2023-02-21 14:17:10.640,235,236,235
2023-02-21 14:17:10.680,235,236,235
2023-02-21 14:17:10.720,235,236,235
2023-02-21 14:17:10.760,235,236,235
2023-02-21 14:17:10.800,235,236,235
2023-02-21 14:17:10.840,235,236,235
2023-02-21 14:17:10.880,235,236,235
2023-02-21 14:17:10.920,235,236,235
2023-02-21 14:17:10.960,235,236,235
2023-02-21 14:17:11.000,235,236,235
2023-02-21 14:17:11.040,235,236,235
2023-02-21 14:17:11.080,235,236,235
2023-02-21 14:17:11.120,235,236,235
2023-02-21 14:17:11.160,235,236,235
2023-02-21 14:17:11.200,235,236,235
2023-02-21 14:17:11.240,235,236,235
2023-02-21 14:17:11.280,235,236,235
2023-02-21 14:17:11.320,235,236,235
2023-02-21 14:17:11.360,235,236,235
2023-02-21 14:17:11.400,235,236,235
2023-02-21 14:17:11.440,235,236,235
2023-02-21 14:17:11.480,235,236,235
2023-02-21 14:17:11.520,235,236,235
2023-02-21 14:17:11.560,235,236,235
2023-02-21 14:17:11.600,235,236,235
2023-02-21 14:17:11.640,235,236,235
2023-02-21 14:17:11.680,235,236,235
2023-02-21 14:17:11.720,235,236,235
2023-02-21 14:17:11.760,235,236,235
2023-02-21 14:17:11.800,235,236,235
2023-02-21 14:17:11.840,235,236,235
2023-02-21 14:17:11.880,235,236,235
2023-02-21 14:17:11.920,235,236,235
2023-02-21 14:17:11.960,235,236,235
2023-02-21 14:17:12.000,235,236,235
2023-02-21 14:17:12.040,235,236,235
2023-02-21 14:17:12.080,235,236,235
2023-02-21 14:17:12.120,235,236,235
2023-02-21 14:17:12.160,235,236,235
2023-02-21 14:17:12.200,235,236,235
2023-02-21 14:17:12.240,235,236,235
2023-02-21 14:17:12.280,235,236,235
2023-02-21 14:17:12.320,235,236,235
2023-02-21 14:17:12.360,235,236,235
2023-02-21 14:17:12.400,235,236,235
2023-02-21 14:17:12.440,235,236,235
2023-02-21 14:17:12.480,235,237,235
2023-02-21 14:17:12.520,235,237,235
2023-02-21 14:17:12.560,234,230,236
2023-02-21 14:17:12.600,233,223,236
2023-02-21 14:17:12.640,233,227,235
2023-02-21 14:17:12.680,234,235,234
2023-02-21 14:17:12.720,234,237,235
2023-02-21 14:17:12.760,234,236,235
2023-02-21 14:17:12.800,234,237,235
2023-02-21 14:17:12.840,234,237,235
2023-02-21 14:17:12.880,235,237,235
2023-02-21 14:17:12.920,235,237,235
2023-02-21 14:17:12.960,235,237,235
2023-02-21 14:17:13.000,235,237,235
2023-02-21 14:17:13.040,235,237,235
2023-02-21 14:17:13.080,235,237,235
2023-02-21 14:17:13.120,235,237,235
2023-02-21 14:17:13.160,235,237,235
2023-02-21 14:17:13.200,235,237,235
2023-02-21 14:17:13.240,235,237,235
2023-02-21 14:17:13.280,235,237,235
2023-02-21 14:17:13.320,235,237,235
2023-02-21 14:17:13.360,235,237,235
2023-02-21 14:17:13.400,235,237,235
2023-02-21 14:17:13.440,235,237,235
2023-02-21 14:17:13.480,235,237,235
2023-02-21 14:17:13.520,235,237,235
2023-02-21 14:17:13.560,235,237,235
2023-02-21 14:17:13.600,235,237,235
2023-02-21 14:17:13.640,235,237,235
2023-02-21 14:17:13.680,235,237,235
2023-02-21 14:17:13.720,235,237,235
2023-02-21 14:17:13.760,235,236,235
2023-02-21 14:17:13.800,235,236,235
2023-02-21 14:17:13.840,235,236,235
2023-02-21 14:17:13.880,235,236,235
2023-02-21 14:17:13.920,235,236,235
2023-02-21 14:17:13.960,235,236,235
2023-02-21 14:17:14.000,235,236,235
2023-02-21 14:17:14.040,235,236,235
2023-02-21 14:17:14.080,235,236,235
2023-02-21 14:17:14.120,235,236,235
2023-02-21 14:17:14.160,235,236,235
2023-02-21 14:17:14.200,235,236,235
2023-02-21 14:17:14.240,235,236,235
2023-02-21 14:17:14.280,235,236,235
2023-02-21 14:17:14.320,235,236,235
2023-02-21 14:17:14.360,235,236,235
2023-02-21 14:17:14.400,235,236,235
2023-02-21 14:17:14.440,235,236,235
2023-02-21 14:17:14.480,235,236,235
2023-02-21 14:17:14.520,235,236,235
2023-02-21 14:17:14.560,235,236,235
2023-02-21 14:17:14.600,235,236,235
2023-02-21 14:17:14.640,235,236,235
2023-02-21 14:17:14.680,235,236,235
2023-02-21 14:17:14.720,235,236,235
2023-02-21 14:17:14.760,235,236,235
2023-02-21 14:17:14.800,235,236,235
2023-02-21 14:17:14.840,235,236,235
2023-02-21 14:17:14.880,235,236,235
2023-02-21 14:17:14.920,235,236,235
2023-02-21 14:17:14.960,235,236,235
2023-02-21 14:17:15.000,235,236,235
2023-02-21 14:17:15.040,235,236,235
2023-02-21 14:17:15.080,235,236,235
2023-02-21 14:17:15.120,235,236,235
2023-02-21 14:17:15.160,235,236,235
2023-02-21 14:17:15.200,235,236,235
2023-02-21 14:17:15.240,235,236,235
2023-02-21 14:17:15.280,235,236,235
2023-02-21 14:17:15.320,235,236,235
2023-02-21 14:17:15.360,235,236,235
2023-02-21 14:17:15.400,235,236,235
2023-02-21 14:17:15.440,235,236,235
2023-02-21 14:17:15.480,235,236,235
2023-02-21 14:17:15.520,235,236,235
2023-02-21 14:17:15.560,235,236,235
2023-02-21 14:17:15.600,235,236,235
2023-02-21 14:17:15.640,235,236,235
2023-02-21 14:17:15.680,235,236,235
2023-02-21 14:17:15.720,235,236,235
2023-02-21 14:17:15.760,235,236,235
2023-02-21 14:17:15.800,235,236,235
2023-02-21 14:17:15.840,235,236,235
2023-02-21 14:17:15.880,235,236,235
2023-02-21 14:17:15.920,235,236,235
2023-02-21 14:17:15.960,235,236,235
2023-02-21 14:17:16.000,235,236,235
2023-02-21 14:17:16.040,235,236,235
2023-02-21 14:17:16.080,235,236,235
2023-02-21 14:17:16.120,235,236,235
2023-02-21 14:17:16.160,235,236,235
2023-02-21 14:17:16.200,235,236,235
2023-02-21 14:17:16.240,235,236,235
2023-02-21 14:17:16.280,235,236,235
2023-02-21 14:17:16.320,235,236,235
2023-02-21 14:17:16.360,235,236,235
2023-02-21 14:17:16.400,235,236,235
2023-02-21 14:17:16.440,235,236,235
2023-02-21 14:17:16.480,235,236,235
2023-02-21 14:17:16.520,235,236,235
2023-02-21 14:17:16.560,235,236,235
2023-02-21 14:17:16.600,235,236,235
2023-02-21 14:17:16.640,235,236,235
2023-02-21 14:17:16.680,235,236,235
2023-02-21 14:17:16.720,235,236,235
2023-02-21 14:17:16.760,235,236,235
2023-02-21 14:17:16.800,235,236,235
2023-02-21 14:17:16.840,235,236,235
2023-02-21 14:17:16.880,235,236,235
2023-02-21 14:17:16.920,235,236,235
2023-02-21 14:17:16.960,234,236,235
2023-02-21 14:17:17.000,234,236,235
2023-02-21 14:17:17.040,234,236,235
2023-02-21 14:17:17.080,234,236,235
2023-02-21 14:17:17.120,234,236,235
2023-02-21 14:17:17.160,234,236,235
2023-02-21 14:17:17.200,234,236,235
2023-02-21 14:17:17.240,234,236,235
2023-02-21 14:17:17.280,234,236,235
2023-02-21 14:17:17.320,234,236,235
2023-02-21 14:17:17.360,234,236,235
2023-02-21 14:17:17.400,234,236,235
2023-02-21 14:17:17.440,234,236,235
2023-02-21 14:17:17.480,234,236,235
2023-02-21 14:17:17.520,234,236,235
2023-02-21 14:17:17.560,235,236,235
2023-02-21 14:17:17.600,235,236,235
2023-02-21 14:17:17.640,235,236,235
2023-02-21 14:17:17.680,235,236,235
2023-02-21 14:17:17.720,235,236,235
2023-02-21 14:17:17.760,235,236,235
2023-02-21 14:17:17.800,235,236,235
2023-02-21 14:17:17.840,235,236,235
2023-02-21 14:17:17.880,235,236,235
2023-02-21 14:17:17.920,235,236,235
2023-02-21 14:17:17.960,235,236,235
2023-02-21 14:17:18.000,235,236,235
2023-02-21 14:17:18.040,235,236,235
2023-02-21 14:17:18.080,235,236,235
2023-02-21 14:17:18.120,235,236,235
2023-02-21 14:17:18.160,235,236,235
2023-02-21 14:17:18.200,235,236,235
2023-02-21 14:17:18.240,235,236,235
2023-02-21 14:17:18.280,235,236,235
2023-02-21 14:17:18.320,235,236,235
2023-02-21 14:17:18.360,235,236,235
2023-02-21 14:17:18.400,235,236,235
2023-02-21 14:17:18.440,235,236,235
2023-02-21 14:17:18.480,235,236,235
2023-02-21 14:17:18.520,235,236,235
2023-02-21 14:17:18.560,235,236,235
2023-02-21 14:17:18.600,235,236,235
2023-02-21 14:17:18.640,235,236,235
2023-02-21 14:17:18.680,235,236,235
2023-02-21 14:17:18.720,235,236,235
2023-02-21 14:17:18.760,235,236,235
2023-02-21 14:17:18.800,235,236,235
2023-02-21 14:17:18.840,235,236,235
2023-02-21 14:17:18.880,235,236,235
2023-02-21 14:17:18.920,235,236,235
2023-02-21 14:17:18.960,235,236,235
2023-02-21 14:17:19.000,235,236,235
2023-02-21 14:17:19.040,235,236,235
2023-02-21 14:17:19.080,235,236,235
2023-02-21 14:17:19.120,235,236,235
2023-02-21 14:17:19.160,235,236,235
2023-02-21 14:17:19.200,235,236,235
2023-02-21 14:17:19.240,235,236,235
2023-02-21 14:17:19.280,235,236,235
2023-02-21 14:17:19.320,235,236,235
2023-02-21 14:17:19.360,235,236,235
2023-02-21 14:17:19.400,235,236,235
2023-02-21 14:17:19.440,235,236,235
2023-02-21 14:17:19.480,235,236,235
2023-02-21 14:17:19.520,235,236,235
2023-02-21 14:17:19.560,235,236,235
2023-02-21 14:17:19.600,235,236,235
2023-02-21 14:17:19.640,235,236,235
2023-02-21 14:17:19.680,235,236,235
2023-02-21 14:17:19.720,235,236,235
2023-02-21 14:17:19.760,235,236,235
2023-02-21 14:17:19.800,235,236,235
2023-02-21 14:17:19.840,235,236,235
2023-02-21 14:17:19.880,235,236,235
2023-02-21 14:17:19.920,235,236,235
2023-02-21 14:17:19.960,235,236,235
2023-02-21 14:17:20.000,235,236,235
2023-02-21 14:17:20.040,235,236,235

